TEMPORADA;ESPECIE;Provincia;capturas
2004-2005;JABALÍ;BURGOS;4026
2004-2005;JABALÍ;SEGOVIA;1118
2004-2005;JABALÍ;SORIA;3153
2004-2005;LOBO;SEGOVIA;0
2004-2005;CORZO;AVILA;24
2004-2005;CORZO;BURGOS;1282
2004-2005;CORZO;LEON;800
2004-2005;CORZO;SEGOVIA;154
2004-2005;CORZO;SORIA;1595
2004-2005;CORZO;VALLADOLID;1
2004-2005;VENADO;SEGOVIA;63
2004-2005;VENADO;VALLADOLID;317
2004-2005;REBECO;AVILA;0
2004-2005;REBECO;LEON;198
2004-2005;REBECO;PALENCIA;15
2004-2005;REBECO;SEGOVIA;0
2004-2005;REBECO;SORIA;0
2004-2005;CABRA MONTÉS;PALENCIA;0
2004-2005;CABRA MONTÉS;VALLADOLID;0
2004-2005;CABRA MONTÉS;ZAMORA;0
2004-2005;MUFLÓN;AVILA;100
2004-2005;MUFLÓN;BURGOS;0
2004-2005;MUFLÓN;LEON;1
2004-2005;MUFLÓN;VALLADOLID;43
2004-2005;MUFLÓN;ZAMORA;0
2004-2005;GAMO;AVILA;112
2004-2005;GAMO;BURGOS;7
2004-2005;GAMO;PALENCIA;0
2004-2005;CONEJO;SEGOVIA;7321
2004-2005;CONEJO;VALLADOLID;61220
2004-2005;LIEBRE;PALENCIA;10050
2004-2005;ZORRO;AVILA;1832
2004-2005;ZORRO;BURGOS;4103
2004-2005;ZORRO;LEON;4050
2004-2005;ZORRO;SALAMANCA;19375
2004-2005;ZORRO;SEGOVIA;3812
2004-2005;ZORRO;SORIA;2705
2004-2005;ZORRO;ZAMORA;650
2004-2005;PALOMA ZURITA;AVILA;3000
2004-2005;PALOMA ZURITA;BURGOS;1720
2004-2005;PALOMA ZURITA;PALENCIA;2330
2004-2005;PALOMA ZURITA;SALAMANCA;5047
2004-2005;PALOMA ZURITA;VALLADOLID;4801
2004-2005;PALOMA BRAVIA;SALAMANCA;22620
2004-2005;PALOMA TORCAZ;LEON;6200
2004-2005;PALOMA TORCAZ;SALAMANCA;46497
2004-2005;PALOMA TORCAZ;ZAMORA;7500
2004-2005;TÓRTOLA;SEGOVIA;1322
2004-2005;TÓRTOLA;SORIA;3400
2004-2005;TÓRTOLA;VALLADOLID;5824
2004-2005;TÓRTOLA;ZAMORA;900
2004-2005;CODORNIZ;LEON;46000
2004-2005;CODORNIZ;SEGOVIA;17983
2004-2005;CODORNIZ;SORIA;125423
2004-2005;CODORNIZ;VALLADOLID;44708
2004-2005;BECADA;AVILA;408
2004-2005;BECADA;SALAMANCA;3007
2004-2005;BECADA;SEGOVIA;352
2004-2005;URRACAS. GRAJILLAS;LEON;4300
2004-2005;URRACAS. GRAJILLAS;SALAMANCA;2396
2004-2005;URRACAS. GRAJILLAS;ZAMORA;7000
2004-2005;PATO REAL O AZULÓN;LEON;1300
2004-2005;PATO REAL O AZULÓN;SORIA;1100
2004-2005;OTRAS AVES ACUÁTICAS;LEON;152
2004-2005;OTRAS AVES ACUÁTICAS;PALENCIA;499
2004-2005;ZORZAL;BURGOS;8443
2004-2005;ZORZAL;LEON;358
2004-2005;JABALÍ;AVILA;894
2004-2005;JABALÍ;LEON;1578
2004-2005;JABALÍ;SALAMANCA;1907
2004-2005;JABALÍ;VALLADOLID;169
2004-2005;LOBO;AVILA;0
2004-2005;LOBO;BURGOS;18
2004-2005;LOBO;LEON;24
2004-2005;LOBO;PALENCIA;26
2004-2005;LOBO;SORIA;2
2004-2005;LOBO;VALLADOLID;1
2004-2005;LOBO;ZAMORA;26
2004-2005;CORZO;PALENCIA;197
2004-2005;CORZO;SALAMANCA;88
2004-2005;VENADO;LEON;207
2004-2005;VENADO;PALENCIA;347
2004-2005;VENADO;SORIA;3508
2004-2005;REBECO;BURGOS;0
2004-2005;REBECO;SALAMANCA;0
2004-2005;CABRA MONTÉS;AVILA;416
2004-2005;CABRA MONTÉS;BURGOS;0
2004-2005;CABRA MONTÉS;LEON;6
2004-2005;CABRA MONTÉS;SALAMANCA;53
2004-2005;CABRA MONTÉS;SEGOVIA;0
2004-2005;MUFLÓN;PALENCIA;0
2004-2005;MUFLÓN;SEGOVIA;14
2004-2005;MUFLÓN;SORIA;0
2004-2005;GAMO;SEGOVIA;18
2004-2005;GAMO;SORIA;0
2004-2005;GAMO;VALLADOLID;35
2004-2005;GAMO;ZAMORA;0
